100.0
1000
6.86,31.36
55.50,26.16
29.72,59.22
97.06,61.68
48.24,93.69
24.39,35.07
80.09,69.50
42.14,27.71
46.93,42.24
59.72,24.98
91.95,12.72
7.82,78.25
20.73,83.25
22.78,48.47
15.73,49.63
47.12,60.24
27.98,71.25
74.53,22.92
80.77,3.15
75.38,55.70
29.87,18.44
74.84,87.39
12.09,97.45
20.11,88.43
79.89,10.56
65.10,32.59
63.62,75.85
21.70,78.90
24.94,29.89
75.28,10.53
64.84,10.12
38.32,66.63
28.24,10.53
21.48,55.65
3.37,39.37
33.74,44.15
48.38,76.47
84.78,73.89
90.66,1.23
51.43,71.67
34.66,37.83
87.75,81.50
83.06,43.21
3.52,66.61
23.20,45.68
9.28,0.07
55.46,27.23
28.15,87.11
43.81,30.73
3.99,39.57
49.96,65.20
93.67,53.72
72.11,76.43
17.15,25.97
46.61,48.42
53.23,78.35
87.05,1.71
11.10,55.04
28.65,58.81
78.32,94.66
18.17,53.95
44.24,79.09
39.41,74.85
24.72,8.94
92.71,37.31
68.58,58.14
53.24,10.07
9.37,15.83
17.16,27.08
36.84,32.32
7.63,46.95
1.76,47.74
53.02,45.24
35.17,96.96
68.83,54.33
58.19,52.35
71.60,97.74
82.48,87.23
28.27,0.88
52.67,17.19
97.64,98.80
62.37,3.73
51.99,2.82
82.67,85.51
76.35,32.71
78.71,35.90
30.39,68.68
53.50,32.57
23.90,28.49
50.89,64.68
0.48,28.88
69.69,96.37
45.89,47.69
89.70,51.26
38.08,63.22
86.90,82.27
33.65,10.96
19.95,43.37
42.01,64.03
2.96,85.23
73.24,13.55
40.73,55.92
57.68,97.86
91.43,99.12
26.69,5.21
39.46,7.53
12.28,53.78
6.28,7.18
70.51,34.95
0.61,19.56
58.94,90.89
11.23,72.63
0.97,85.97
75.18,9.46
51.97,23.22
12.15,73.72
41.12,51.15
1.97,34.80
0.55,4.73
96.14,52.36
9.27,24.52
96.63,69.92
73.09,2.36
5.80,70.29
33.59,9.11
49.45,21.59
49.62,69.97
2.11,92.25
22.70,66.56
98.02,15.52
44.28,61.22
94.59,39.89
27.05,58.84
65.73,10.15
45.42,44.03
42.09,85.97
50.68,57.54
82.01,19.64
45.36,4.74
52.85,82.67
98.35,21.06
25.56,52.36
57.22,54.72
37.28,43.31
67.63,65.15
56.34,96.87
40.99,77.40
92.02,21.60
20.82,77.09
27.55,11.74
86.23,78.51
18.76,57.53
96.36,49.08
93.41,1.00
23.47,27.62
6.30,84.06
44.65,30.98
53.96,81.89
61.78,3.57
29.51,13.78
97.94,28.07
2.71,76.41
